sku_id,product_name,category,forecast_week_num,horizon_step,forecast_week_date,baseline_naive_forecast,ml_demand_forecast,projected_revenue_inr,unit_cost_inr,unit_selling_price_inr,is_promo_planned,is_holiday_planned
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,105,1,2025-12-29,135.2,146.0,43654.0,180.0,299.0,0,0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,105,1,2025-12-29,179.0,213.5,44835.0,120.0,210.0,0,0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,105,1,2025-12-29,105.6,125.4,56304.6,250.0,449.0,0,0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,105,1,2025-12-29,172.2,170.0,15130.0,45.0,89.0,0,0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,105,1,2025-12-29,18.4,39.0,11115.0,160.0,285.0,0,0
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,105,1,2025-12-29,120.8,105.8,20631.0,110.0,195.0,0,0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,105,1,2025-12-29,162.2,163.4,37582.0,140.0,230.0,0,0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,105,1,2025-12-29,253.8,238.8,66625.2,170.0,279.0,0,0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,105,1,2025-12-29,104.4,141.3,23314.5,95.0,165.0,0,0
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,105,1,2025-12-29,194.4,251.8,35252.0,80.0,140.0,0,0
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,105,1,2025-12-29,200.8,221.1,34270.5,90.0,155.0,0,0
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,105,1,2025-12-29,107.3,152.2,30287.8,120.0,199.0,0,0
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,106,2,2026-01-05,241.9,221.4,132618.6,420.0,599.0,0,0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,106,2,2026-01-05,220.8,266.9,116101.5,310.0,435.0,0,0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,106,2,2026-01-05,182.6,198.5,38707.5,135.0,195.0,0,0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,106,2,2026-01-05,191.2,158.4,43560.0,190.0,275.0,0,0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,106,2,2026-01-05,225.9,208.8,51991.2,180.0,249.0,0,0
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,106,2,2026-01-05,84.9,130.0,46800.0,240.0,360.0,0,0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,106,2,2026-01-05,191.4,182.7,87696.0,320.0,480.0,0,0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,106,2,2026-01-05,103.5,105.4,57864.6,360.0,549.0,0,0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,106,2,2026-01-05,37.7,99.9,21978.0,140.0,220.0,0,0
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,106,2,2026-01-05,125.8,187.5,15937.5,45.0,85.0,0,0
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,106,2,2026-01-05,72.6,82.5,25987.5,210.0,315.0,0,0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,106,2,2026-01-05,218.3,206.1,86562.0,280.0,420.0,0,0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,106,2,2026-01-05,211.4,233.1,44055.9,115.0,189.0,0,0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,106,2,2026-01-05,139.3,144.7,50500.3,220.0,349.0,0,0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,106,2,2026-01-05,217.8,229.0,22671.0,60.0,99.0,0,0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,106,2,2026-01-05,50.9,42.9,25697.1,390.0,599.0,0,0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,106,2,2026-01-05,175.9,170.2,13616.0,50.0,80.0,0,0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,106,2,2026-01-05,54.1,67.4,29656.0,290.0,440.0,0,0
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,106,2,2026-01-05,125.4,138.7,41471.3,180.0,299.0,0,0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,106,2,2026-01-05,146.0,200.5,42105.0,120.0,210.0,0,0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,106,2,2026-01-05,109.3,117.0,52533.0,250.0,449.0,0,0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,106,2,2026-01-05,178.2,177.9,15833.1,45.0,89.0,0,0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,106,2,2026-01-05,38.6,45.9,13081.5,160.0,285.0,0,0
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,106,2,2026-01-05,87.8,95.8,18681.0,110.0,195.0,0,0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,106,2,2026-01-05,184.7,180.3,41469.0,140.0,230.0,0,0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,106,2,2026-01-05,224.5,253.2,70642.8,170.0,279.0,0,0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,106,2,2026-01-05,119.4,135.7,22390.5,95.0,165.0,0,0
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,106,2,2026-01-05,258.2,257.6,36064.0,80.0,140.0,0,0
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,106,2,2026-01-05,187.3,209.6,32488.0,90.0,155.0,0,0
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,106,2,2026-01-05,188.3,166.7,33173.3,120.0,199.0,0,0
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,107,3,2026-01-12,145.1,209.5,125490.5,420.0,599.0,0,0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,107,3,2026-01-12,254.6,293.3,127585.5,310.0,435.0,0,0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,107,3,2026-01-12,204.3,207.8,40521.0,135.0,195.0,0,0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,107,3,2026-01-12,141.0,171.0,47025.0,190.0,275.0,0,0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,107,3,2026-01-12,251.4,229.5,57145.5,180.0,249.0,0,0
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,107,3,2026-01-12,131.4,140.1,50436.0,240.0,360.0,0,0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,107,3,2026-01-12,156.2,196.6,94368.0,320.0,480.0,0,0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,107,3,2026-01-12,79.5,99.0,54351.0,360.0,549.0,0,0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,107,3,2026-01-12,105.9,111.6,24552.0,140.0,220.0,0,0
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,107,3,2026-01-12,141.5,190.6,16201.0,45.0,85.0,0,0
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,107,3,2026-01-12,129.6,110.3,34744.5,210.0,315.0,0,0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,107,3,2026-01-12,153.8,200.3,84126.0,280.0,420.0,0,0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,107,3,2026-01-12,321.6,281.9,53279.1,115.0,189.0,0,0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,107,3,2026-01-12,201.6,175.3,61179.7,220.0,349.0,0,0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,107,3,2026-01-12,226.8,231.5,22918.5,60.0,99.0,0,0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,107,3,2026-01-12,93.7,75.8,45404.2,390.0,599.0,0,0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,107,3,2026-01-12,229.9,206.5,16520.0,50.0,80.0,0,0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,107,3,2026-01-12,97.6,85.4,37576.0,290.0,440.0,0,0
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,107,3,2026-01-12,144.9,153.9,46016.1,180.0,299.0,0,0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,107,3,2026-01-12,208.2,225.0,47250.0,120.0,210.0,0,0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,107,3,2026-01-12,100.3,133.6,59986.4,250.0,449.0,0,0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,107,3,2026-01-12,190.2,190.0,16910.0,45.0,89.0,0,0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,107,3,2026-01-12,67.9,50.9,14506.5,160.0,285.0,0,0
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,107,3,2026-01-12,115.6,117.0,22815.0,110.0,195.0,0,0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,107,3,2026-01-12,195.9,185.9,42757.0,140.0,230.0,0,0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,107,3,2026-01-12,249.2,258.6,72149.4,170.0,279.0,0,0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,107,3,2026-01-12,210.2,170.6,28149.0,95.0,165.0,0,0
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,107,3,2026-01-12,252.2,277.9,38906.0,80.0,140.0,0,0
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,107,3,2026-01-12,263.1,240.1,37215.5,90.0,155.0,0,0
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,107,3,2026-01-12,196.6,188.2,37451.8,120.0,199.0,0,0
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,108,4,2026-01-19,172.1,276.4,165563.6,420.0,599.0,1,0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,108,4,2026-01-19,303.3,394.6,171651.0,310.0,435.0,1,0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,108,4,2026-01-19,201.3,275.7,53761.5,135.0,195.0,1,0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,108,4,2026-01-19,161.2,217.3,59757.5,190.0,275.0,1,0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,108,4,2026-01-19,192.9,281.9,70193.1,180.0,249.0,1,0
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,108,4,2026-01-19,119.4,179.1,64476.0,240.0,360.0,1,0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,108,4,2026-01-19,198.9,262.6,126048.0,320.0,480.0,1,0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,108,4,2026-01-19,95.2,139.2,76420.8,360.0,549.0,1,0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,108,4,2026-01-19,96.9,150.3,33066.0,140.0,220.0,1,0
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,108,4,2026-01-19,184.2,268.1,22788.5,45.0,85.0,1,0
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,108,4,2026-01-19,88.3,130.5,41107.5,210.0,315.0,1,0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,108,4,2026-01-19,137.3,250.1,105042.0,280.0,420.0,1,0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,108,4,2026-01-19,205.4,327.2,61840.8,115.0,189.0,1,0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,108,4,2026-01-19,130.3,204.0,71196.0,220.0,349.0,1,0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,108,4,2026-01-19,187.0,277.0,27423.0,60.0,99.0,1,0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,108,4,2026-01-19,62.2,74.5,44625.5,390.0,599.0,1,0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,108,4,2026-01-19,160.2,235.8,18864.0,50.0,80.0,1,0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,108,4,2026-01-19,65.3,98.4,43296.0,290.0,440.0,1,0
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,108,4,2026-01-19,138.2,197.0,58903.0,180.0,299.0,1,0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,108,4,2026-01-19,161.0,274.9,57729.0,120.0,210.0,1,0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,108,4,2026-01-19,189.6,196.1,88048.9,250.0,449.0,1,0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,108,4,2026-01-19,168.4,240.4,21395.6,45.0,89.0,1,0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,108,4,2026-01-19,61.1,74.5,21232.5,160.0,285.0,1,0
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,108,4,2026-01-19,102.8,138.4,26988.0,110.0,195.0,1,0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,108,4,2026-01-19,161.4,236.7,54441.0,140.0,230.0,1,0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,108,4,2026-01-19,195.2,319.3,89084.7,170.0,279.0,1,0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,108,4,2026-01-19,105.2,196.0,32340.0,95.0,165.0,1,0
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,108,4,2026-01-19,186.2,332.0,46480.0,80.0,140.0,1,0
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,108,4,2026-01-19,206.8,303.8,47089.0,90.0,155.0,1,0
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,108,4,2026-01-19,114.1,221.5,44078.5,120.0,199.0,1,0
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,109,5,2026-01-26,194.6,243.2,145676.8,420.0,599.0,0,0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,109,5,2026-01-26,270.3,339.8,147813.0,310.0,435.0,0,0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,109,5,2026-01-26,184.1,236.0,46020.0,135.0,195.0,0,0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,109,5,2026-01-26,147.0,188.7,51892.5,190.0,275.0,0,0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,109,5,2026-01-26,168.2,240.0,59760.0,180.0,249.0,0,0
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,109,5,2026-01-26,117.2,156.2,56232.0,240.0,360.0,0,0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,109,5,2026-01-26,176.4,224.8,107904.0,320.0,480.0,0,0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,109,5,2026-01-26,78.8,114.2,62695.8,360.0,549.0,0,0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,109,5,2026-01-26,102.9,131.1,28842.0,140.0,220.0,0,0
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,109,5,2026-01-26,143.0,217.7,18504.5,45.0,85.0,0,0
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,109,5,2026-01-26,99.6,117.5,37012.5,210.0,315.0,0,0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,109,5,2026-01-26,82.6,194.7,81774.0,280.0,420.0,0,0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,109,5,2026-01-26,239.1,294.0,55566.0,115.0,189.0,0,0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,109,5,2026-01-26,149.8,181.1,63203.9,220.0,349.0,0,0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,109,5,2026-01-26,203.5,252.2,24967.8,60.0,99.0,0,0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,109,5,2026-01-26,56.9,70.6,42289.4,390.0,599.0,0,0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,109,5,2026-01-26,233.7,232.6,18608.0,50.0,80.0,0,0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,109,5,2026-01-26,111.8,100.1,44044.0,290.0,440.0,0,0
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,109,5,2026-01-26,141.2,173.8,51966.2,180.0,299.0,0,0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,109,5,2026-01-26,202.2,247.8,52038.0,120.0,210.0,0,0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,109,5,2026-01-26,101.1,152.7,68562.3,250.0,449.0,0,0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,109,5,2026-01-26,148.9,204.5,18200.5,45.0,89.0,0,0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,109,5,2026-01-26,69.4,66.5,18952.5,160.0,285.0,0,0
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,109,5,2026-01-26,111.8,128.3,25018.5,110.0,195.0,0,0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,109,5,2026-01-26,141.9,199.2,45816.0,140.0,230.0,0,0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,109,5,2026-01-26,242.5,289.4,80742.6,170.0,279.0,0,0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,109,5,2026-01-26,155.4,180.6,29799.0,95.0,165.0,0,0
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,109,5,2026-01-26,171.2,277.5,38850.0,80.0,140.0,0,0
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,109,5,2026-01-26,262.3,281.9,43694.5,90.0,155.0,0,0
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,109,5,2026-01-26,152.3,195.7,38944.3,120.0,199.0,0,0
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,110,6,2026-02-02,192.4,248.9,149091.1,420.0,599.0,0,0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,110,6,2026-02-02,253.8,338.1,147073.5,310.0,435.0,0,0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,110,6,2026-02-02,161.6,232.7,45376.5,135.0,195.0,0,0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,110,6,2026-02-02,177.8,201.4,55385.0,190.0,275.0,0,0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,110,6,2026-02-02,221.4,257.4,64092.6,180.0,249.0,0,0
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,110,6,2026-02-02,96.2,149.9,53964.0,240.0,360.0,0,0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,110,6,2026-02-02,183.2,230.5,110640.0,320.0,480.0,0,0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,110,6,2026-02-02,122.2,128.7,70656.3,360.0,549.0,0,0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,110,6,2026-02-02,112.7,134.5,29590.0,140.0,220.0,0,0
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,110,6,2026-02-02,221.0,240.2,20417.0,45.0,85.0,0,0
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,110,6,2026-02-02,93.6,117.0,36855.0,210.0,315.0,0,0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,110,6,2026-02-02,141.1,206.7,86814.0,280.0,420.0,0,0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,110,6,2026-02-02,273.6,309.6,58514.4,115.0,189.0,0,0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,110,6,2026-02-02,131.1,178.8,62401.2,220.0,349.0,0,0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,110,6,2026-02-02,283.0,282.5,27967.5,60.0,99.0,0,0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,110,6,2026-02-02,98.2,81.7,48938.3,390.0,599.0,0,0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,110,6,2026-02-02,184.9,227.1,18168.0,50.0,80.0,0,0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,110,6,2026-02-02,79.6,95.7,42108.0,290.0,440.0,0,0
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,110,6,2026-02-02,151.7,179.1,53550.9,180.0,299.0,0,0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,110,6,2026-02-02,138.5,230.6,48426.0,120.0,210.0,0,0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,110,6,2026-02-02,186.6,178.8,80281.2,250.0,449.0,0,0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,110,6,2026-02-02,201.4,223.2,19864.8,45.0,89.0,0,0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,110,6,2026-02-02,43.1,62.4,17784.0,160.0,285.0,0,0
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,110,6,2026-02-02,113.3,130.9,25525.5,110.0,195.0,0,0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,110,6,2026-02-02,145.7,202.9,46667.0,140.0,230.0,0,0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,110,6,2026-02-02,246.2,299.2,83476.8,170.0,279.0,0,0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,110,6,2026-02-02,66.2,155.1,25591.5,95.0,165.0,0,0
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,110,6,2026-02-02,186.9,279.4,39116.0,80.0,140.0,0,0
